,Ticker_Symbol,Years,Period_Ending,Total_Revenue,Cost_of_Goods_Sold,"_Sales,_General_and_Admin._",Research_and_Development,Other_Operating_Items,GICS_Sector,GICS_Sub_Industry,operating income,Years,Gross_profit,operating expenditure
421,CVX,Year 2,12/31/2013,"220,156,000,000.00","159,323,000,000.00","17,573,000,000.00",0.00,"14,186,000,000.00",Energy,Integrated Oil & Gas,"29,074,000,000.00",2013,"60,833,000,000.00","31,759,000,000.00"
422,CVX,Year 3,12/31/2014,"200,494,000,000.00","144,956,000,000.00","17,034,000,000.00",0.00,"16,793,000,000.00",Energy,Integrated Oil & Gas,"21,711,000,000.00",2014,"55,538,000,000.00","33,827,000,000.00"
423,CVX,Year 4,12/31/2015,"129,925,000,000.00","92,785,000,000.00","16,473,000,000.00",0.00,"21,037,000,000.00",Energy,Integrated Oil & Gas,"(370,000,000.00)",2015,"37,140,000,000.00","37,510,000,000.00"
424,CXO,Year 1,12/31/2012,"1,819,814,000.00","343,743,000.00","133,796,000.00",0.00,"579,315,000.00",Energy,Oil & Gas Exploration & Production,"762,960,000.00",2012,"1,476,071,000.00","713,111,000.00"
425,CXO,Year 2,12/31/2013,"2,319,919,000.00","455,436,000.00","169,815,000.00",0.00,"778,655,000.00",Energy,Oil & Gas Exploration & Production,"916,013,000.00",2013,"1,864,483,000.00","948,470,000.00"
426,CXO,Year 3,12/31/2014,"2,660,147,000.00","538,374,000.00","204,161,000.00",0.00,"986,812,000.00",Energy,Oil & Gas Exploration & Production,"930,800,000.00",2014,"2,121,773,000.00","1,190,973,000.00"
427,CXO,Year 4,12/31/2015,"1,803,573,000.00","541,359,000.00","230,734,000.00",0.00,"1,230,853,000.00",Energy,Oil & Gas Exploration & Production,"(199,373,000.00)",2015,"1,262,214,000.00","1,461,587,000.00"
428,D,Year 1,12/31/2012,"12,835,000,000.00","8,300,000,000.00","550,000,000.00",0.00,"1,127,000,000.00",Utilities,Electric Utilities,"2,858,000,000.00",2012,"4,535,000,000.00","1,677,000,000.00"
429,D,Year 2,12/31/2013,"13,120,000,000.00","8,033,000,000.00","563,000,000.00",0.00,"1,208,000,000.00",Utilities,Electric Utilities,"3,316,000,000.00",2013,"5,087,000,000.00","1,771,000,000.00"
430,D,Year 3,12/31/2014,"12,436,000,000.00","7,881,000,000.00","542,000,000.00",0.00,"1,292,000,000.00",Utilities,Electric Utilities,"2,721,000,000.00",2014,"4,555,000,000.00","1,834,000,000.00"
431,D,Year 4,12/31/2015,"11,683,000,000.00","6,201,000,000.00","551,000,000.00",0.00,"1,395,000,000.00",Utilities,Electric Utilities,"3,536,000,000.00",2015,"5,482,000,000.00","1,946,000,000.00"
432,DAL,Year 1,12/31/2013,"37,773,000,000.00","20,964,000,000.00","11,349,000,000.00",0.00,"1,658,000,000.00",Industrials,Airlines,"3,802,000,000.00",2013,"16,809,000,000.00","13,007,000,000.00"
433,DAL,Year 2,12/31/2014,"40,362,000,000.00","22,967,000,000.00","12,702,000,000.00",0.00,"1,771,000,000.00",Industrials,Airlines,"2,922,000,000.00",2014,"17,395,000,000.00","14,473,000,000.00"
434,DAL,Year 3,12/31/2015,"40,704,000,000.00","17,096,000,000.00","13,936,000,000.00",0.00,"1,835,000,000.00",Industrials,Airlines,"7,837,000,000.00",2015,"23,608,000,000.00","15,771,000,000.00"
435,DAL,Year 4,12/31/2016,"39,639,000,000.00","15,940,000,000.00","14,845,000,000.00",0.00,"1,902,000,000.00",Industrials,Airlines,"6,952,000,000.00",2016,"23,699,000,000.00","16,747,000,000.00"
436,DD,Year 1,12/31/2013,"28,998,000,000.00","17,642,000,000.00","6,564,000,000.00","2,037,000,000.00",0.00,Materials,Diversified Chemicals,"2,755,000,000.00",2013,"11,356,000,000.00","8,601,000,000.00"
437,DD,Year 2,12/31/2014,"28,406,000,000.00","17,023,000,000.00","5,536,000,000.00","1,958,000,000.00",0.00,Materials,Diversified Chemicals,"3,889,000,000.00",2014,"11,383,000,000.00","7,494,000,000.00"
438,DD,Year 3,12/31/2015,"25,130,000,000.00","15,112,000,000.00","5,074,000,000.00","1,898,000,000.00",0.00,Materials,Diversified Chemicals,"3,046,000,000.00",2015,"10,018,000,000.00","6,972,000,000.00"
439,DD,Year 4,12/31/2016,"24,594,000,000.00","14,469,000,000.00","5,005,000,000.00","1,641,000,000.00",0.00,Materials,Diversified Chemicals,"3,479,000,000.00",2016,"10,125,000,000.00","6,646,000,000.00"
440,DE,Year 1,10/31/2013,"37,795,400,000.00","25,667,300,000.00","4,426,100,000.00","1,477,300,000.00",0.00,Industrials,Construction & Farm Machinery & Heavy Trucks,"6,224,700,000.00",2013,"12,128,100,000.00","5,903,400,000.00"
441,DE,Year 2,10/31/2014,"36,066,900,000.00","24,775,800,000.00","4,377,700,000.00","1,452,000,000.00",0.00,Industrials,Construction & Farm Machinery & Heavy Trucks,"5,461,400,000.00",2014,"11,291,100,000.00","5,829,700,000.00"
442,DE,Year 3,10/31/2015,"28,862,800,000.00","20,143,200,000.00","3,834,400,000.00","1,425,100,000.00",0.00,Industrials,Construction & Farm Machinery & Heavy Trucks,"3,460,100,000.00",2015,"8,719,600,000.00","5,259,500,000.00"
443,DE,Year 4,10/31/2016,"26,644,000,000.00","18,248,900,000.00","4,018,300,000.00","1,389,100,000.00",0.00,Industrials,Construction & Farm Machinery & Heavy Trucks,"2,987,700,000.00",2016,"8,395,100,000.00","5,407,400,000.00"
444,DFS,Year 1,11/30/2012,"8,984,000,000.00","845,000,000.00","3,052,000,000.00",0.00,"848,000,000.00",Financials,Consumer Finance,"4,239,000,000.00",2012,"8,139,000,000.00","3,900,000,000.00"
445,DFS,Year 2,12/31/2013,"9,370,000,000.00","698,000,000.00","3,194,000,000.00",0.00,"1,086,000,000.00",Financials,Consumer Finance,"4,392,000,000.00",2013,"8,672,000,000.00","4,280,000,000.00"
446,DFS,Year 3,12/31/2014,"9,611,000,000.00","614,000,000.00","3,340,000,000.00",0.00,"1,443,000,000.00",Financials,Consumer Finance,"4,214,000,000.00",2014,"8,997,000,000.00","4,783,000,000.00"
447,DFS,Year 4,12/31/2015,"10,002,000,000.00","623,000,000.00","3,615,000,000.00",0.00,"1,512,000,000.00",Financials,Consumer Finance,"4,252,000,000.00",2015,"9,379,000,000.00","5,127,000,000.00"
448,DG,Year 1,2/1/2013,"16,022,128,000.00","10,936,727,000.00","3,430,125,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,655,276,000.00",2013,"5,085,401,000.00","3,430,125,000.00"
449,DG,Year 2,1/31/2014,"17,504,167,000.00","12,068,425,000.00","3,699,557,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,736,185,000.00",2014,"5,435,742,000.00","3,699,557,000.00"
450,DG,Year 3,1/30/2015,"18,909,588,000.00","13,107,081,000.00","4,033,414,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,769,093,000.00",2015,"5,802,507,000.00","4,033,414,000.00"
451,DG,Year 4,1/29/2016,"20,368,562,000.00","14,062,471,000.00","4,365,797,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,940,294,000.00",2016,"6,306,091,000.00","4,365,797,000.00"
452,DGX,Year 1,12/31/2012,"7,383,000,000.00","4,365,000,000.00","1,742,000,000.00",0.00,"75,000,000.00",Health Care,Health Care Facilities,"1,201,000,000.00",2012,"3,018,000,000.00","1,817,000,000.00"
453,DGX,Year 2,12/31/2013,"7,146,000,000.00","4,326,000,000.00","1,740,000,000.00",0.00,"79,000,000.00",Health Care,Health Care Facilities,"1,001,000,000.00",2013,"2,820,000,000.00","1,819,000,000.00"
454,DGX,Year 3,12/31/2014,"7,435,000,000.00","4,637,000,000.00","1,721,000,000.00",0.00,"94,000,000.00",Health Care,Health Care Facilities,"983,000,000.00",2014,"2,798,000,000.00","1,815,000,000.00"
455,DGX,Year 4,12/31/2015,"7,493,000,000.00","4,657,000,000.00","1,356,000,000.00",0.00,"81,000,000.00",Health Care,Health Care Facilities,"1,399,000,000.00",2015,"2,836,000,000.00","1,437,000,000.00"
456,DHI,Year 1,9/30/2013,"6,259,300,000.00","4,853,500,000.00","649,900,000.00",0.00,0.00,Consumer Discretionary,Homebuilding,"755,900,000.00",2013,"1,405,800,000.00","649,900,000.00"
457,DHI,Year 2,9/30/2014,"8,024,900,000.00","6,268,600,000.00","826,900,000.00",0.00,0.00,Consumer Discretionary,Homebuilding,"929,400,000.00",2014,"1,756,300,000.00","826,900,000.00"
458,DHI,Year 3,9/30/2015,"10,824,000,000.00","8,535,700,000.00","1,003,000,000.00",0.00,0.00,Consumer Discretionary,Homebuilding,"1,285,300,000.00",2015,"2,288,300,000.00","1,003,000,000.00"
459,DHI,Year 4,9/30/2016,"12,157,400,000.00","9,502,600,000.00","1,100,300,000.00",0.00,0.00,Consumer Discretionary,Homebuilding,"1,554,500,000.00",2016,"2,654,800,000.00","1,100,300,000.00"
460,DHR,Year 1,12/31/2012,"18,260,400,000.00","8,846,100,000.00","5,181,200,000.00","1,137,900,000.00",0.00,Industrials,Industrial Conglomerates,"3,095,200,000.00",2012,"9,414,300,000.00","6,319,100,000.00"
461,DHR,Year 2,12/31/2013,"18,283,100,000.00","8,941,100,000.00","5,117,100,000.00","1,104,400,000.00",0.00,Industrials,Industrial Conglomerates,"3,120,500,000.00",2013,"9,342,000,000.00","6,221,500,000.00"
462,DHR,Year 3,12/31/2014,"19,154,000,000.00","9,261,400,000.00","5,389,000,000.00","1,157,000,000.00",0.00,Industrials,Industrial Conglomerates,"3,346,600,000.00",2014,"9,892,600,000.00","6,546,000,000.00"
463,DHR,Year 4,12/31/2015,"20,563,100,000.00","9,800,600,000.00","6,054,300,000.00","1,239,100,000.00",0.00,Industrials,Industrial Conglomerates,"3,469,100,000.00",2015,"10,762,500,000.00","7,293,400,000.00"
464,DIS,Year 1,9/28/2013,"45,041,000,000.00","25,034,000,000.00","8,365,000,000.00",0.00,"2,192,000,000.00",Consumer Discretionary,Broadcasting & Cable TV,"9,450,000,000.00",2013,"20,007,000,000.00","10,557,000,000.00"
465,DIS,Year 2,9/27/2014,"48,813,000,000.00","26,420,000,000.00","8,565,000,000.00",0.00,"2,288,000,000.00",Consumer Discretionary,Broadcasting & Cable TV,"11,540,000,000.00",2014,"22,393,000,000.00","10,853,000,000.00"
466,DIS,Year 3,10/3/2015,"52,465,000,000.00","28,364,000,000.00","8,523,000,000.00",0.00,"2,354,000,000.00",Consumer Discretionary,Broadcasting & Cable TV,"13,224,000,000.00",2015,"24,101,000,000.00","10,877,000,000.00"
467,DIS,Year 4,10/1/2016,"55,632,000,000.00","29,993,000,000.00","8,754,000,000.00",0.00,"2,527,000,000.00",Consumer Discretionary,Broadcasting & Cable TV,"14,358,000,000.00",2016,"25,639,000,000.00","11,281,000,000.00"
468,DISCA,Year 1,12/31/2013,"5,535,000,000.00","1,689,000,000.00","1,598,000,000.00",0.00,"276,000,000.00",Consumer Discretionary,Cable & Satellite,"1,972,000,000.00",2013,"3,846,000,000.00","1,874,000,000.00"
469,DISCA,Year 2,12/31/2014,"6,265,000,000.00","2,124,000,000.00","1,692,000,000.00",0.00,"329,000,000.00",Consumer Discretionary,Cable & Satellite,"2,120,000,000.00",2014,"4,141,000,000.00","2,021,000,000.00"
470,DISCA,Year 3,12/31/2015,"6,394,000,000.00","2,343,000,000.00","1,669,000,000.00",0.00,"330,000,000.00",Consumer Discretionary,Cable & Satellite,"2,052,000,000.00",2015,"4,051,000,000.00","1,999,000,000.00"
471,DISCA,Year 4,12/31/2016,"6,497,000,000.00","2,432,000,000.00","1,690,000,000.00",0.00,"322,000,000.00",Consumer Discretionary,Cable & Satellite,"2,053,000,000.00",2016,"4,065,000,000.00","2,012,000,000.00"
472,DISCK,Year 1,12/31/2013,"5,535,000,000.00","1,689,000,000.00","1,598,000,000.00",0.00,"276,000,000.00",Consumer Discretionary,Cable & Satellite,"1,972,000,000.00",2013,"3,846,000,000.00","1,874,000,000.00"
473,DISCK,Year 2,12/31/2014,"6,265,000,000.00","2,124,000,000.00","1,692,000,000.00",0.00,"329,000,000.00",Consumer Discretionary,Cable & Satellite,"2,120,000,000.00",2014,"4,141,000,000.00","2,021,000,000.00"
474,DISCK,Year 3,12/31/2015,"6,394,000,000.00","2,343,000,000.00","1,669,000,000.00",0.00,"330,000,000.00",Consumer Discretionary,Cable & Satellite,"2,052,000,000.00",2015,"4,051,000,000.00","1,999,000,000.00"
475,DISCK,Year 4,12/31/2016,"6,497,000,000.00","2,432,000,000.00","1,690,000,000.00",0.00,"322,000,000.00",Consumer Discretionary,Cable & Satellite,"2,053,000,000.00",2016,"4,065,000,000.00","2,012,000,000.00"
476,DLPH,Year 1,12/31/2013,"15,051,000,000.00","12,274,000,000.00","916,000,000.00",0.00,"97,000,000.00",Consumer Discretionary,Auto Parts & Equipment,"1,764,000,000.00",2013,"2,777,000,000.00","1,013,000,000.00"
477,DLPH,Year 2,12/31/2014,"15,499,000,000.00","12,471,000,000.00","1,036,000,000.00",0.00,"94,000,000.00",Consumer Discretionary,Auto Parts & Equipment,"1,898,000,000.00",2014,"3,028,000,000.00","1,130,000,000.00"
478,DLPH,Year 3,12/31/2015,"15,165,000,000.00","12,155,000,000.00","1,017,000,000.00",0.00,"93,000,000.00",Consumer Discretionary,Auto Parts & Equipment,"1,900,000,000.00",2015,"3,010,000,000.00","1,110,000,000.00"
479,DLPH,Year 4,12/31/2016,"16,661,000,000.00","13,107,000,000.00","1,145,000,000.00",0.00,"134,000,000.00",Consumer Discretionary,Auto Parts & Equipment,"2,275,000,000.00",2016,"3,554,000,000.00","1,279,000,000.00"
480,DLR,Year 1,12/31/2012,"1,279,067,000.00","461,898,000.00","68,538,000.00",0.00,"382,553,000.00",Real Estate,Specialized REITs,"366,078,000.00",2012,"817,169,000.00","451,091,000.00"
481,DLR,Year 2,12/31/2013,"1,482,259,000.00","555,660,000.00","69,323,000.00",0.00,"475,464,000.00",Real Estate,Specialized REITs,"381,812,000.00",2013,"926,599,000.00","544,787,000.00"
482,DLR,Year 3,12/31/2014,"1,616,438,000.00","603,321,000.00","89,468,000.00",0.00,"538,513,000.00",Real Estate,Specialized REITs,"385,136,000.00",2014,"1,013,117,000.00","627,981,000.00"
483,DLR,Year 4,12/31/2015,"1,763,336,000.00","651,282,000.00","139,616,000.00",0.00,"570,527,000.00",Real Estate,Specialized REITs,"401,911,000.00",2015,"1,112,054,000.00","710,143,000.00"
484,DLTR,Year 1,2/2/2013,"7,394,500,000.00","4,741,800,000.00","1,732,600,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"920,100,000.00",2013,"2,652,700,000.00","1,732,600,000.00"
485,DLTR,Year 2,2/1/2014,"7,840,300,000.00","5,050,500,000.00","1,819,500,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"970,300,000.00",2014,"2,789,800,000.00","1,819,500,000.00"
486,DLTR,Year 3,1/31/2015,"8,602,200,000.00","5,568,200,000.00","1,993,800,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,040,200,000.00",2015,"3,034,000,000.00","1,993,800,000.00"
487,DLTR,Year 4,1/30/2016,"15,498,400,000.00","10,841,700,000.00","3,607,000,000.00",0.00,0.00,Consumer Discretionary,General Merchandise Stores,"1,049,700,000.00",2016,"4,656,700,000.00","3,607,000,000.00"
488,DNB,Year 1,12/31/2012,"1,663,000,000.00",$-,"1,123,200,000.00",0.00,"78,300,000.00",Industrials,Research & Consulting Services,#VALUE!,2012,#VALUE!,"1,201,500,000.00"
489,DNB,Year 2,12/31/2013,"1,558,400,000.00",$-,"1,058,000,000.00",0.00,"60,400,000.00",Industrials,Research & Consulting Services,#VALUE!,2013,#VALUE!,"1,118,400,000.00"
490,DNB,Year 3,12/31/2014,"1,584,500,000.00",$-,"1,105,700,000.00",0.00,"52,500,000.00",Industrials,Research & Consulting Services,#VALUE!,2014,#VALUE!,"1,158,200,000.00"
491,DNB,Year 4,12/31/2015,"1,637,100,000.00",$-,"1,209,100,000.00",0.00,"58,700,000.00",Industrials,Research & Consulting Services,#VALUE!,2015,#VALUE!,"1,267,800,000.00"
492,DOV,Year 1,12/31/2013,"7,155,096,000.00","4,376,505,000.00","1,616,921,000.00",0.00,0.00,Industrials,Industrial Machinery,"1,161,670,000.00",2013,"2,778,591,000.00","1,616,921,000.00"
493,DOV,Year 2,12/31/2014,"7,752,728,000.00","4,778,479,000.00","1,758,765,000.00",0.00,0.00,Industrials,Industrial Machinery,"1,215,484,000.00",2014,"2,974,249,000.00","1,758,765,000.00"
494,DOV,Year 3,12/31/2015,"6,956,311,000.00","4,388,167,000.00","1,647,382,000.00",0.00,0.00,Industrials,Industrial Machinery,"920,762,000.00",2015,"2,568,144,000.00","1,647,382,000.00"
495,DOV,Year 4,12/31/2016,"6,794,342,000.00","4,322,373,000.00","1,757,523,000.00",0.00,0.00,Industrials,Industrial Machinery,"714,446,000.00",2016,"2,471,969,000.00","1,757,523,000.00"
496,DPS,Year 1,12/31/2013,"5,997,000,000.00","2,499,000,000.00","2,337,000,000.00",0.00,"115,000,000.00",Consumer Staples,Soft Drinks,"1,046,000,000.00",2013,"3,498,000,000.00","2,452,000,000.00"
497,DPS,Year 2,12/31/2014,"6,121,000,000.00","2,491,000,000.00","2,335,000,000.00",0.00,"115,000,000.00",Consumer Staples,Soft Drinks,"1,180,000,000.00",2014,"3,630,000,000.00","2,450,000,000.00"
498,DPS,Year 3,12/31/2015,"6,282,000,000.00","2,559,000,000.00","2,320,000,000.00",0.00,"105,000,000.00",Consumer Staples,Soft Drinks,"1,298,000,000.00",2015,"3,723,000,000.00","2,425,000,000.00"
499,DPS,Year 4,12/31/2016,"6,440,000,000.00","2,582,000,000.00","2,326,000,000.00",0.00,"99,000,000.00",Consumer Staples,Soft Drinks,"1,433,000,000.00",2016,"3,858,000,000.00","2,425,000,000.00"
500,DRI,Year 1,5/26/2013,"5,921,000,000.00","4,616,600,000.00","625,200,000.00",0.00,"278,300,000.00",Consumer Discretionary,Restaurants,"400,900,000.00",2013,"1,304,400,000.00","903,500,000.00"
501,DRI,Year 2,5/25/2014,"6,285,600,000.00","4,990,500,000.00","665,400,000.00",0.00,"304,400,000.00",Consumer Discretionary,Restaurants,"325,300,000.00",2014,"1,295,100,000.00","969,800,000.00"
502,DRI,Year 3,5/31/2015,"6,764,000,000.00","5,341,500,000.00","673,500,000.00",0.00,"319,300,000.00",Consumer Discretionary,Restaurants,"429,700,000.00",2015,"1,422,500,000.00","992,800,000.00"
503,DRI,Year 4,5/29/2016,"6,933,500,000.00","5,392,400,000.00","622,900,000.00",0.00,"290,200,000.00",Consumer Discretionary,Restaurants,"628,000,000.00",2016,"1,541,100,000.00","913,100,000.00"
504,DUK,Year 1,12/31/2012,"17,912,000,000.00","11,235,000,000.00","965,000,000.00",0.00,"2,145,000,000.00",Utilities,Electric Utilities,"3,567,000,000.00",2012,"6,677,000,000.00","3,110,000,000.00"
505,DUK,Year 2,12/31/2013,"22,756,000,000.00","13,545,000,000.00","1,274,000,000.00",0.00,"2,668,000,000.00",Utilities,Electric Utilities,"5,269,000,000.00",2013,"9,211,000,000.00","3,942,000,000.00"
506,DUK,Year 3,12/31/2014,"23,925,000,000.00","14,323,000,000.00","1,213,000,000.00",0.00,"3,066,000,000.00",Utilities,Electric Utilities,"5,323,000,000.00",2014,"9,602,000,000.00","4,279,000,000.00"
507,DUK,Year 4,12/31/2015,"23,459,000,000.00","13,728,000,000.00","1,135,000,000.00",0.00,"3,144,000,000.00",Utilities,Electric Utilities,"5,452,000,000.00",2015,"9,731,000,000.00","4,279,000,000.00"
508,DVA,Year 1,12/31/2012,"8,186,280,000.00","5,583,549,000.00","889,879,000.00",0.00,"341,969,000.00",Health Care,Health Care Facilities,"1,370,883,000.00",2012,"2,602,731,000.00","1,231,848,000.00"
509,DVA,Year 2,12/31/2013,"11,764,050,000.00","8,198,377,000.00","1,516,508,000.00",0.00,"528,737,000.00",Health Care,Health Care Facilities,"1,520,428,000.00",2013,"3,565,673,000.00","2,045,245,000.00"
510,DVA,Year 3,12/31/2014,"12,795,106,000.00","9,119,305,000.00","1,278,506,000.00",0.00,"590,935,000.00",Health Care,Health Care Facilities,"1,806,360,000.00",2014,"3,675,801,000.00","1,869,441,000.00"
511,DVA,Year 4,12/31/2015,"13,781,837,000.00","9,824,834,000.00","1,947,135,000.00",0.00,"638,024,000.00",Health Care,Health Care Facilities,"1,371,844,000.00",2015,"3,957,003,000.00","2,585,159,000.00"
512,DVN,Year 1,12/31/2013,"10,397,000,000.00","2,268,000,000.00","2,743,000,000.00",0.00,"2,780,000,000.00",Energy,Oil & Gas Exploration & Production,"2,606,000,000.00",2013,"8,129,000,000.00","5,523,000,000.00"
513,DVN,Year 2,12/31/2014,"20,638,000,000.00","2,332,000,000.00","8,290,000,000.00",0.00,"3,319,000,000.00",Energy,Oil & Gas Exploration & Production,"6,697,000,000.00",2014,"18,306,000,000.00","11,609,000,000.00"
514,DVN,Year 3,12/31/2015,"13,145,000,000.00","2,104,000,000.00","7,741,000,000.00",0.00,"3,129,000,000.00",Energy,Oil & Gas Exploration & Production,"171,000,000.00",2015,"11,041,000,000.00","10,870,000,000.00"
515,DVN,Year 4,12/31/2016,"12,197,000,000.00","1,582,000,000.00","6,476,000,000.00",0.00,"1,792,000,000.00",Energy,Oil & Gas Exploration & Production,"2,347,000,000.00",2016,"10,615,000,000.00","8,268,000,000.00"
516,EA,Year 1,3/31/2013,"3,797,000,000.00","1,388,000,000.00","1,078,000,000.00","1,153,000,000.00","30,000,000.00",Information Technology,Home Entertainment Software,"148,000,000.00",2013,"2,409,000,000.00","2,261,000,000.00"
517,EA,Year 2,3/31/2014,"3,575,000,000.00","1,347,000,000.00","1,055,000,000.00","1,125,000,000.00","16,000,000.00",Information Technology,Home Entertainment Software,"32,000,000.00",2014,"2,228,000,000.00","2,196,000,000.00"
518,EA,Year 3,3/31/2015,"4,515,000,000.00","1,429,000,000.00","1,030,000,000.00","1,094,000,000.00","14,000,000.00",Information Technology,Home Entertainment Software,"948,000,000.00",2015,"3,086,000,000.00","2,138,000,000.00"
519,EA,Year 4,3/31/2016,"4,396,000,000.00","1,354,000,000.00","1,028,000,000.00","1,109,000,000.00","7,000,000.00",Information Technology,Home Entertainment Software,"898,000,000.00",2016,"3,042,000,000.00","2,144,000,000.00"
520,EBAY,Year 1,12/31/2013,"8,257,000,000.00","1,492,000,000.00","3,260,000,000.00","915,000,000.00","136,000,000.00",Information Technology,Internet Software & Services,"2,454,000,000.00",2013,"6,765,000,000.00","4,311,000,000.00"
521,EBAY,Year 2,12/31/2014,"8,790,000,000.00","1,663,000,000.00","3,593,000,000.00","983,000,000.00","75,000,000.00",Information Technology,Internet Software & Services,"2,476,000,000.00",2014,"7,127,000,000.00","4,651,000,000.00"
522,EBAY,Year 3,12/31/2015,"8,592,000,000.00","1,771,000,000.00","3,660,000,000.00","923,000,000.00","41,000,000.00",Information Technology,Internet Software & Services,"2,197,000,000.00",2015,"6,821,000,000.00","4,624,000,000.00"
523,EBAY,Year 4,12/31/2016,"8,979,000,000.00","2,007,000,000.00","3,499,000,000.00","1,114,000,000.00","34,000,000.00",Information Technology,Internet Software & Services,"2,325,000,000.00",2016,"6,972,000,000.00","4,647,000,000.00"
524,ECL,Year 1,12/31/2012,"11,838,700,000.00","6,385,400,000.00","4,018,300,000.00",0.00,0.00,Materials,Specialty Chemicals,"1,435,000,000.00",2012,"5,453,300,000.00","4,018,300,000.00"
525,ECL,Year 2,12/31/2013,"13,253,400,000.00","7,161,200,000.00","4,360,300,000.00",0.00,0.00,Materials,Specialty Chemicals,"1,731,900,000.00",2013,"6,092,200,000.00","4,360,300,000.00"
526,ECL,Year 3,12/31/2014,"14,280,500,000.00","7,679,100,000.00","4,577,600,000.00",0.00,0.00,Materials,Specialty Chemicals,"2,023,800,000.00",2014,"6,601,400,000.00","4,577,600,000.00"
527,ECL,Year 4,12/31/2015,"13,545,100,000.00","7,223,500,000.00","4,345,500,000.00",0.00,0.00,Materials,Specialty Chemicals,"1,976,100,000.00",2015,"6,321,600,000.00","4,345,500,000.00"
528,ED,Year 1,12/31/2013,"12,354,000,000.00","7,191,000,000.00","1,895,000,000.00",0.00,"1,024,000,000.00",Utilities,Electric Utilities,"2,244,000,000.00",2013,"5,163,000,000.00","2,919,000,000.00"
529,ED,Year 2,12/31/2014,"12,919,000,000.00","7,807,000,000.00","1,877,000,000.00",0.00,"1,071,000,000.00",Utilities,Electric Utilities,"2,164,000,000.00",2014,"5,112,000,000.00","2,948,000,000.00"
530,ED,Year 3,12/31/2015,"12,554,000,000.00","7,060,000,000.00","1,937,000,000.00",0.00,"1,130,000,000.00",Utilities,Electric Utilities,"2,427,000,000.00",2015,"5,494,000,000.00","3,067,000,000.00"
531,ED,Year 4,12/31/2016,"12,075,000,000.00","6,357,000,000.00","2,031,000,000.00",0.00,"1,216,000,000.00",Utilities,Electric Utilities,"2,471,000,000.00",2016,"5,718,000,000.00","3,247,000,000.00"
532,EFX,Year 1,12/31/2012,"2,073,000,000.00","759,500,000.00","673,500,000.00",0.00,"160,000,000.00",Industrials,Research & Consulting Services,"480,000,000.00",2012,"1,313,500,000.00","833,500,000.00"
533,EFX,Year 2,12/31/2013,"2,303,900,000.00","787,300,000.00","715,800,000.00",0.00,"189,600,000.00",Industrials,Research & Consulting Services,"611,200,000.00",2013,"1,516,600,000.00","905,400,000.00"
534,EFX,Year 3,12/31/2014,"2,436,400,000.00","844,700,000.00","751,700,000.00",0.00,"201,800,000.00",Industrials,Research & Consulting Services,"638,200,000.00",2014,"1,591,700,000.00","953,500,000.00"
535,EFX,Year 4,12/31/2015,"2,663,600,000.00","887,400,000.00","884,300,000.00",0.00,"198,000,000.00",Industrials,Research & Consulting Services,"693,900,000.00",2015,"1,776,200,000.00","1,082,300,000.00"
536,EIX,Year 1,12/31/2012,"11,862,000,000.00","7,747,000,000.00","296,000,000.00",0.00,"1,562,000,000.00",Utilities,Electric Utilities,"2,257,000,000.00",2012,"4,115,000,000.00","1,858,000,000.00"
537,EIX,Year 2,12/31/2013,"12,581,000,000.00","8,364,000,000.00","309,000,000.00",0.00,"1,622,000,000.00",Utilities,Electric Utilities,"2,286,000,000.00",2013,"4,217,000,000.00","1,931,000,000.00"
538,EIX,Year 3,12/31/2014,"13,413,000,000.00","8,742,000,000.00","322,000,000.00",0.00,"1,720,000,000.00",Utilities,Electric Utilities,"2,629,000,000.00",2014,"4,671,000,000.00","2,042,000,000.00"
539,EIX,Year 4,12/31/2015,"11,524,000,000.00","7,256,000,000.00","336,000,000.00",0.00,"1,919,000,000.00",Utilities,Electric Utilities,"2,013,000,000.00",2015,"4,268,000,000.00","2,255,000,000.00"
540,EL,Year 1,6/30/2013,"10,181,700,000.00","2,025,900,000.00","6,597,000,000.00",0.00,0.00,Consumer Staples,Personal Products,"1,558,800,000.00",2013,"8,155,800,000.00","6,597,000,000.00"
541,EL,Year 2,6/30/2014,"10,968,800,000.00","2,158,200,000.00","6,985,900,000.00",0.00,0.00,Consumer Staples,Personal Products,"1,824,700,000.00",2014,"8,810,600,000.00","6,985,900,000.00"
542,EL,Year 3,6/30/2015,"10,780,400,000.00","2,100,600,000.00","7,073,500,000.00",0.00,0.00,Consumer Staples,Personal Products,"1,606,300,000.00",2015,"8,679,800,000.00","7,073,500,000.00"
543,EL,Year 4,6/30/2016,"11,262,300,000.00","2,181,100,000.00","7,337,800,000.00",0.00,0.00,Consumer Staples,Personal Products,"1,743,400,000.00",2016,"9,081,200,000.00","7,337,800,000.00"
